# 美國經濟數據公布日期, 來源 ALFRED release calendar (alfred.stlouisfed.org). 時間為美東時間.
datetime,name,tier,tz
2020-02-11 10:00,JOLTS,normal,ET
2020-02-13 08:30,CPI,big,ET
2020-02-19 08:30,PPI,normal,ET
2020-03-06 08:30,NFP,big,ET
2020-03-11 08:30,CPI,big,ET
2020-03-12 08:30,PPI,normal,ET
2020-03-17 10:00,JOLTS,normal,ET
2020-04-03 08:30,NFP,big,ET
2020-04-07 10:00,JOLTS,normal,ET
2020-04-09 08:30,PPI,normal,ET
2020-04-10 08:30,CPI,big,ET
2020-05-08 08:30,NFP,big,ET
2020-05-12 08:30,CPI,big,ET
2020-05-13 08:30,PPI,normal,ET
2020-05-15 10:00,JOLTS,normal,ET
2020-06-05 08:30,NFP,big,ET
2020-06-09 10:00,JOLTS,normal,ET
2020-06-10 08:30,CPI,big,ET
2020-06-11 08:30,PPI,normal,ET
2020-07-02 08:30,NFP,big,ET
2020-07-07 10:00,JOLTS,normal,ET
2020-07-10 08:30,PPI,normal,ET
2020-07-14 08:30,CPI,big,ET
2020-08-07 08:30,NFP,big,ET
2020-08-10 10:00,JOLTS,normal,ET
2020-08-11 08:30,PPI,normal,ET
2020-08-12 08:30,CPI,big,ET
2020-09-04 08:30,NFP,big,ET
2020-09-09 10:00,JOLTS,normal,ET
2020-09-10 08:30,PPI,normal,ET
2020-09-11 08:30,CPI,big,ET
2020-10-02 08:30,NFP,big,ET
2020-10-06 10:00,JOLTS,normal,ET
2020-10-13 08:30,CPI,big,ET
2020-10-14 08:30,PPI,normal,ET
2020-11-06 08:30,NFP,big,ET
2020-11-10 10:00,JOLTS,normal,ET
2020-11-12 08:30,CPI,big,ET
2020-11-13 08:30,PPI,normal,ET
2020-12-04 08:30,NFP,big,ET
2020-12-09 10:00,JOLTS,normal,ET
2020-12-10 08:30,CPI,big,ET
2020-12-11 08:30,PPI,normal,ET
2021-01-08 08:30,NFP,big,ET
2021-01-12 10:00,JOLTS,normal,ET
2021-01-13 08:30,CPI,big,ET
2021-01-15 08:30,PPI,normal,ET
2021-02-05 08:30,NFP,big,ET
2021-02-09 10:00,JOLTS,normal,ET
2021-02-10 08:30,CPI,big,ET
2021-02-17 08:30,PPI,normal,ET
2021-03-05 08:30,NFP,big,ET
2021-03-10 08:30,CPI,big,ET
2021-03-11 10:00,JOLTS,normal,ET
2021-03-12 08:30,PPI,normal,ET
2021-04-02 08:30,NFP,big,ET
2021-04-06 10:00,JOLTS,normal,ET
2021-04-09 08:30,PPI,normal,ET
2021-04-13 08:30,CPI,big,ET
2021-05-07 08:30,NFP,big,ET
2021-05-11 10:00,JOLTS,normal,ET
2021-05-12 08:30,CPI,big,ET
2021-05-13 08:30,PPI,normal,ET
2021-06-04 08:30,NFP,big,ET
2021-06-08 10:00,JOLTS,normal,ET
2021-06-10 08:30,CPI,big,ET
2021-06-15 08:30,PPI,normal,ET
2021-07-02 08:30,NFP,big,ET
2021-07-07 10:00,JOLTS,normal,ET
2021-07-13 08:30,CPI,big,ET
2021-07-14 08:30,PPI,normal,ET
2021-08-06 08:30,NFP,big,ET
2021-08-09 10:00,JOLTS,normal,ET
2021-08-11 08:30,CPI,big,ET
2021-08-12 08:30,PPI,normal,ET
2021-09-03 08:30,NFP,big,ET
2021-09-08 10:00,JOLTS,normal,ET
2021-09-10 08:30,PPI,normal,ET
2021-09-14 08:30,CPI,big,ET
2021-10-08 08:30,NFP,big,ET
2021-10-12 10:00,JOLTS,normal,ET
2021-10-13 08:30,CPI,big,ET
2021-10-14 08:30,PPI,normal,ET
2021-11-05 08:30,NFP,big,ET
2021-11-09 08:30,PPI,normal,ET
2021-11-10 08:30,CPI,big,ET
2021-11-12 10:00,JOLTS,normal,ET
2021-12-03 08:30,NFP,big,ET
2021-12-08 10:00,JOLTS,normal,ET
2021-12-10 08:30,CPI,big,ET
2021-12-14 08:30,PPI,normal,ET
2022-01-04 10:00,JOLTS,normal,ET
2022-01-07 08:30,NFP,big,ET
2022-01-12 08:30,CPI,big,ET
2022-01-13 08:30,PPI,normal,ET
2022-02-01 10:00,JOLTS,normal,ET
2022-02-04 08:30,NFP,big,ET
2022-02-10 08:30,CPI,big,ET
2022-02-15 08:30,PPI,normal,ET
2022-03-04 08:30,NFP,big,ET
2022-03-09 10:00,JOLTS,normal,ET
2022-03-10 08:30,CPI,big,ET
2022-03-15 08:30,PPI,normal,ET
2022-03-29 10:00,JOLTS,normal,ET
2022-04-01 08:30,NFP,big,ET
2022-04-12 08:30,CPI,big,ET
2022-04-13 08:30,PPI,normal,ET
2022-05-03 10:00,JOLTS,normal,ET
2022-05-06 08:30,NFP,big,ET
2022-05-11 08:30,CPI,big,ET
2022-05-12 08:30,PPI,normal,ET
2022-06-01 10:00,JOLTS,normal,ET
2022-06-03 08:30,NFP,big,ET
2022-06-10 08:30,CPI,big,ET
2022-06-14 08:30,PPI,normal,ET
2022-07-06 10:00,JOLTS,normal,ET
2022-07-08 08:30,NFP,big,ET
2022-07-13 08:30,CPI,big,ET
2022-07-14 08:30,PPI,normal,ET
2022-08-02 10:00,JOLTS,normal,ET
2022-08-05 08:30,NFP,big,ET
2022-08-10 08:30,CPI,big,ET
2022-08-11 08:30,PPI,normal,ET
2022-08-30 10:00,JOLTS,normal,ET
2022-09-02 08:30,NFP,big,ET
2022-09-13 08:30,CPI,big,ET
2022-09-14 08:30,PPI,normal,ET
2022-10-04 10:00,JOLTS,normal,ET
2022-10-07 08:30,NFP,big,ET
2022-10-12 08:30,PPI,normal,ET
2022-10-13 08:30,CPI,big,ET
2022-11-01 10:00,JOLTS,normal,ET
2022-11-04 08:30,NFP,big,ET
2022-11-10 08:30,CPI,big,ET
2022-11-15 08:30,PPI,normal,ET
2022-11-30 10:00,JOLTS,normal,ET
2022-12-02 08:30,NFP,big,ET
2022-12-09 08:30,PPI,normal,ET
2022-12-13 08:30,CPI,big,ET
2023-01-04 10:00,JOLTS,normal,ET
2023-01-06 08:30,NFP,big,ET
2023-01-12 08:30,CPI,big,ET
2023-01-18 08:30,PPI,normal,ET
2023-02-01 10:00,JOLTS,normal,ET
2023-02-03 08:30,NFP,big,ET
2023-02-14 08:30,CPI,big,ET
2023-02-16 08:30,PPI,normal,ET
2023-03-08 10:00,JOLTS,normal,ET
2023-03-10 08:30,NFP,big,ET
2023-03-14 08:30,CPI,big,ET
2023-03-15 08:30,PPI,normal,ET
2023-04-04 10:00,JOLTS,normal,ET
2023-04-07 08:30,NFP,big,ET
2023-04-12 08:30,CPI,big,ET
2023-04-13 08:30,PPI,normal,ET
2023-05-02 10:00,JOLTS,normal,ET
2023-05-05 08:30,NFP,big,ET
2023-05-10 08:30,CPI,big,ET
2023-05-11 08:30,PPI,normal,ET
2023-05-31 10:00,JOLTS,normal,ET
2023-06-02 08:30,NFP,big,ET
2023-06-13 08:30,CPI,big,ET
2023-06-14 08:30,PPI,normal,ET
2023-07-06 10:00,JOLTS,normal,ET
2023-07-07 08:30,NFP,big,ET
2023-07-12 08:30,CPI,big,ET
2023-07-13 08:30,PPI,normal,ET
2023-08-01 10:00,JOLTS,normal,ET
2023-08-04 08:30,NFP,big,ET
2023-08-10 08:30,CPI,big,ET
2023-08-11 08:30,PPI,normal,ET
2023-08-29 10:00,JOLTS,normal,ET
2023-09-01 08:30,NFP,big,ET
2023-09-13 08:30,CPI,big,ET
2023-09-14 08:30,PPI,normal,ET
2023-10-03 10:00,JOLTS,normal,ET
2023-10-06 08:30,NFP,big,ET
2023-10-11 08:30,PPI,normal,ET
2023-10-12 08:30,CPI,big,ET
2023-11-01 10:00,JOLTS,normal,ET
2023-11-03 08:30,NFP,big,ET
2023-11-14 08:30,CPI,big,ET
2023-11-15 08:30,PPI,normal,ET
2023-12-05 10:00,JOLTS,normal,ET
2023-12-08 08:30,NFP,big,ET
2023-12-12 08:30,CPI,big,ET
2023-12-13 08:30,PPI,normal,ET
2024-01-03 10:00,JOLTS,normal,ET
2024-01-05 08:30,NFP,big,ET
2024-01-11 08:30,CPI,big,ET
2024-01-12 08:30,PPI,normal,ET
2024-01-30 10:00,JOLTS,normal,ET
2024-02-02 08:30,NFP,big,ET
2024-02-13 08:30,CPI,big,ET
2024-02-16 08:30,PPI,normal,ET
2024-03-06 10:00,JOLTS,normal,ET
2024-03-08 08:30,NFP,big,ET
2024-03-12 08:30,CPI,big,ET
2024-03-14 08:30,PPI,normal,ET
2024-04-02 10:00,JOLTS,normal,ET
2024-04-05 08:30,NFP,big,ET
2024-04-10 08:30,CPI,big,ET
2024-04-11 08:30,PPI,normal,ET
2024-05-01 10:00,JOLTS,normal,ET
2024-05-03 08:30,NFP,big,ET
2024-05-14 08:30,PPI,normal,ET
2024-05-15 08:30,CPI,big,ET
2024-06-04 10:00,JOLTS,normal,ET
2024-06-07 08:30,NFP,big,ET
2024-06-12 08:30,CPI,big,ET
2024-06-13 08:30,PPI,normal,ET
2024-07-02 10:00,JOLTS,normal,ET
2024-07-05 08:30,NFP,big,ET
2024-07-11 08:30,CPI,big,ET
2024-07-12 08:30,PPI,normal,ET
2024-07-30 10:00,JOLTS,normal,ET
2024-08-02 08:30,NFP,big,ET
2024-08-13 08:30,PPI,normal,ET
2024-08-14 08:30,CPI,big,ET
2024-09-04 10:00,JOLTS,normal,ET
2024-09-06 08:30,NFP,big,ET
2024-09-11 08:30,CPI,big,ET
2024-09-12 08:30,PPI,normal,ET
2024-10-01 10:00,JOLTS,normal,ET
2024-10-04 08:30,NFP,big,ET
2024-10-10 08:30,CPI,big,ET
2024-10-11 08:30,PPI,normal,ET
2024-10-29 10:00,JOLTS,normal,ET
2024-11-01 08:30,NFP,big,ET
2024-11-13 08:30,CPI,big,ET
2024-11-14 08:30,PPI,normal,ET
2024-12-03 10:00,JOLTS,normal,ET
2024-12-06 08:30,NFP,big,ET
2024-12-11 08:30,CPI,big,ET
2024-12-12 08:30,PPI,normal,ET
2025-01-07 10:00,JOLTS,normal,ET
2025-01-10 08:30,NFP,big,ET
2025-01-14 08:30,PPI,normal,ET
2025-01-15 08:30,CPI,big,ET
2025-02-04 10:00,JOLTS,normal,ET
2025-02-07 08:30,NFP,big,ET
2025-02-12 08:30,CPI,big,ET
2025-02-13 08:30,PPI,normal,ET
2025-03-07 08:30,NFP,big,ET
2025-03-11 10:00,JOLTS,normal,ET
2025-03-12 08:30,CPI,big,ET
2025-03-13 08:30,PPI,normal,ET
2025-04-01 10:00,JOLTS,normal,ET
2025-04-04 08:30,NFP,big,ET
2025-04-10 08:30,CPI,big,ET
2025-04-11 08:30,PPI,normal,ET
2025-04-29 10:00,JOLTS,normal,ET
2025-05-02 08:30,NFP,big,ET
2025-05-13 08:30,CPI,big,ET
2025-05-15 08:30,PPI,normal,ET
2025-06-03 10:00,JOLTS,normal,ET
2025-06-06 08:30,NFP,big,ET
2025-06-11 08:30,CPI,big,ET
2025-06-12 08:30,PPI,normal,ET
2025-07-01 10:00,JOLTS,normal,ET
2025-07-03 08:30,NFP,big,ET
2025-07-15 08:30,CPI,big,ET
2025-07-16 08:30,PPI,normal,ET
2025-07-29 10:00,JOLTS,normal,ET
2025-08-01 08:30,NFP,big,ET
2025-08-12 08:30,CPI,big,ET
2025-08-14 08:30,PPI,normal,ET
2025-09-03 10:00,JOLTS,normal,ET
2025-09-05 08:30,NFP,big,ET
2025-09-10 08:30,PPI,normal,ET
2025-09-11 08:30,CPI,big,ET
2025-09-30 10:00,JOLTS,normal,ET
2025-10-24 08:30,CPI,big,ET
2025-11-20 08:30,NFP,big,ET
2025-11-25 08:30,PPI,normal,ET
2025-12-09 10:00,JOLTS,normal,ET
2025-12-16 08:30,NFP,big,ET
2025-12-18 08:30,CPI,big,ET
2026-01-07 10:00,JOLTS,normal,ET
2026-01-09 08:30,NFP,big,ET
2026-01-13 08:30,CPI,big,ET
2026-01-14 08:30,PPI,normal,ET
2026-01-30 08:30,PPI,normal,ET
2026-02-05 10:00,JOLTS,normal,ET
2026-02-11 08:30,NFP,big,ET
2026-02-13 08:30,CPI,big,ET
2026-02-27 08:30,PPI,normal,ET
2026-03-06 08:30,NFP,big,ET
2026-03-11 08:30,CPI,big,ET
2026-03-13 10:00,JOLTS,normal,ET
2026-03-18 08:30,PPI,normal,ET
2026-03-31 10:00,JOLTS,normal,ET
2026-04-03 08:30,NFP,big,ET
2026-04-10 08:30,CPI,big,ET
2026-04-14 08:30,PPI,normal,ET
2026-05-05 10:00,JOLTS,normal,ET
2026-05-08 08:30,NFP,big,ET
2026-05-12 08:30,CPI,big,ET
2026-05-13 08:30,PPI,normal,ET
2026-06-02 10:00,JOLTS,normal,ET
2026-06-05 08:30,NFP,big,ET
2026-06-10 08:30,CPI,big,ET
2026-06-11 08:30,PPI,normal,ET
2026-06-30 10:00,JOLTS,normal,ET
2026-07-02 08:30,NFP,big,ET
2026-07-14 08:30,CPI,big,ET
2026-07-15 08:30,PPI,normal,ET
2026-08-04 10:00,JOLTS,normal,ET
2026-08-07 08:30,NFP,big,ET
2026-08-12 08:30,CPI,big,ET
2026-08-13 08:30,PPI,normal,ET
2026-09-01 10:00,JOLTS,normal,ET
2026-09-04 08:30,NFP,big,ET
2026-09-10 08:30,PPI,normal,ET
2026-09-11 08:30,CPI,big,ET
2026-09-29 10:00,JOLTS,normal,ET
2026-10-02 08:30,NFP,big,ET
2026-10-14 08:30,CPI,big,ET
2026-10-15 08:30,PPI,normal,ET
2026-11-03 10:00,JOLTS,normal,ET
2026-11-06 08:30,NFP,big,ET
2026-11-10 08:30,CPI,big,ET
2026-11-13 08:30,PPI,normal,ET
2026-12-01 10:00,JOLTS,normal,ET
2026-12-04 08:30,NFP,big,ET
2026-12-10 08:30,CPI,big,ET
2026-12-15 08:30,PPI,normal,ET
