# 台積電每月營收公布日, 來源: 公開資訊觀測站重大訊息 (co_id=2330). 時間用 13:30 (使用者規則), source 欄是 MOPS 申報時間.
datetime,name,tier,tz,source
2022-05-10 13:30,TSMC_REV,normal,TW,台積公司2022年4月營收報告 MOPS 13:44
2022-06-10 13:30,TSMC_REV,normal,TW,台積公司2022年5月營收報告 MOPS 14:20
2022-07-08 13:30,TSMC_REV,normal,TW,台積公司2022年6月營收報告 MOPS 14:02
2022-08-10 13:30,TSMC_REV,normal,TW,台積公司2022年7月營收報告 MOPS 13:40
2022-09-08 13:30,TSMC_REV,normal,TW,台積公司2022年8月營收報告 MOPS 14:10
2022-10-07 13:30,TSMC_REV,normal,TW,台積公司2022年9月營收報告 MOPS 13:57
2022-11-10 13:30,TSMC_REV,normal,TW,台積公司2022年10月營收報告 MOPS 14:00
2022-12-09 13:30,TSMC_REV,normal,TW,台積公司2022年11月營收報告 MOPS 14:06
2023-01-10 13:30,TSMC_REV,normal,TW,台積公司2022年12月營收報告 MOPS 13:43
2023-02-10 13:30,TSMC_REV,normal,TW,台積公司2023年1月營收報告 MOPS 14:22
2023-03-10 13:30,TSMC_REV,normal,TW,台積公司2023年2月營收報告 MOPS 14:03
2023-04-10 13:30,TSMC_REV,normal,TW,台積公司2023年3月營收報告 MOPS 14:06
2023-05-10 13:30,TSMC_REV,normal,TW,台積公司2023年4月營收報告 MOPS 13:51
2023-06-09 13:30,TSMC_REV,normal,TW,台積公司2023年5月營收報告 MOPS 14:19
2023-07-10 13:30,TSMC_REV,normal,TW,台積公司2023年6月營收報告 MOPS 14:04
2023-08-10 13:30,TSMC_REV,normal,TW,台積公司2023年7月營收報告 MOPS 13:52
2023-09-08 13:30,TSMC_REV,normal,TW,台積公司2023年8月營收報告 MOPS 13:49
2023-10-06 13:30,TSMC_REV,normal,TW,台積公司2023年9月營收報告 MOPS 13:52
2023-11-10 13:30,TSMC_REV,normal,TW,台積公司2023年10月營收報告 MOPS 13:57
2023-12-08 13:30,TSMC_REV,normal,TW,台積公司2023年11月營收報告 MOPS 14:04
2024-01-10 13:30,TSMC_REV,normal,TW,台積公司2023年12月營收報告 MOPS 14:10
2024-02-07 13:30,TSMC_REV,normal,TW,台積公司2024年1月營收報告 MOPS 13:49
2024-03-08 13:30,TSMC_REV,normal,TW,台積公司2024年2月營收報告 MOPS 13:53
2024-04-10 13:30,TSMC_REV,normal,TW,台積公司2024年3月營收報告 MOPS 13:50
2024-05-10 13:30,TSMC_REV,normal,TW,台積公司2024年4月營收報告 MOPS 14:03
2024-06-07 13:30,TSMC_REV,normal,TW,台積公司2024年5月營收報告 MOPS 14:06
2024-07-10 13:30,TSMC_REV,normal,TW,台積公司2024年6月營收報告 MOPS 13:48
2024-08-09 13:30,TSMC_REV,normal,TW,台積公司2024年7月營收報告 MOPS 14:08
2024-09-10 13:30,TSMC_REV,normal,TW,台積公司2024年8月營收報告 MOPS 14:02
2024-10-09 13:30,TSMC_REV,normal,TW,台積公司2024年9月營收報告 MOPS 13:37
2024-11-08 13:30,TSMC_REV,normal,TW,台積公司2024年10月營收報告 MOPS 13:55
2024-12-10 13:30,TSMC_REV,normal,TW,台積公司2024年11月營收報告 MOPS 13:46
2025-01-10 13:30,TSMC_REV,normal,TW,台積公司2024年12月營收報告 MOPS 14:05
2025-02-10 13:30,TSMC_REV,normal,TW,台積公司2025年1月營收報告與地震影響說明 MOPS 14:01
2025-03-10 13:30,TSMC_REV,normal,TW,台積公司2025年2月營收報告 MOPS 13:49
2025-04-10 13:30,TSMC_REV,normal,TW,台積公司2025年3月營收報告 MOPS 14:05
2025-05-09 13:30,TSMC_REV,normal,TW,台積公司2025年4月營收報告 MOPS 13:55
2025-06-10 13:30,TSMC_REV,normal,TW,台積公司2025年5月營收報告 MOPS 13:47
2025-07-10 13:30,TSMC_REV,normal,TW,台積公司2025年6月營收報告 MOPS 14:26
