timestamp,open,high,low,close,volume,open interest
2023-11-20,15895.00,16116.75,15837.25,16086.50,559493,282541
2023-11-21,16087.50,16122.50,15912.00,15990.25,575452,279215
2023-11-22,15967.25,16173.50,15942.75,16049.25,624552,277989
2023-11-24,16036.75,16086.50,15981.75,16021.00,296604,277335
2023-11-27,16008.00,16089.25,15938.75,16008.75,502555,282140
2023-11-28,16005.25,16071.50,15945.25,16048.00,598224,287005
2023-11-29,16055.50,16208.50,16013.50,16023.75,634326,280005
2023-11-30,16040.25,16098.50,15856.00,15985.50,694118,279273
2023-12-01,15955.00,16050.00,15864.00,16023.75,621710,276667
2023-12-04,16022.00,16026.00,15721.25,15869.00,710079,0
